tradeinfo_Ticker,tradeinfo_entry_date,tradeinfo_entry_price,tradeinfo_exit_date,tradeinfo_exit_price,tradeinfo_gain_percentage,tradeinfo_gain_absolut,tradeinfo_tax,tradeinfo_fees,tradeinfo_exchange,fundamentals_sector,fundamentals_market_cap,fundamentals_price_to_earning,fundamentals_price_to_book,fundamentals_dept_to_equity,fundamentals_free_cash_flow,fundamentals_PEG_ratio,fundamentals_general_market_analysis,fundamentals_additional_ideas,technical_RSI,technical_trend_mac_d,technical_on_balance_volume,technical_AD_line,technical_ADX,technical_aroon_indicator,human_trading_idea_description,human_mood_on_entry,human_mood_on_exit,human_mistake,human_reflection_for_improvement,Trade Details
MSFT,2022-11-29 00:06:38,148.81529393791152,2022-01-30 21:31:57,426.18457138193367,0.0245108790277985,61.6240759128834,16.75230342807256,5.405074842498067,CBOE,Consumer Discretionary,785555310462.8296,20.1762815367752,8.95144620039633,0.5829109332325036,579286030.6120511,1.5492683161507907,Bearish,Buy,62.58599157142364,-4.3063869912483455,807027904.5279968,0.0912866767861335,11.706701642760589,8.350071669866876,Idea 9,Positive,Negative,Mistake 9,Improvement 9,Index: 10  Ticker: MSFT  Entry Date: 2022-11-29 00:06:38   Entry Price:148.81529393791152
TSLA,2022-11-17 17:53:54,173.94178221021082,2023-03-19 04:06:12,232.35920994105967,-0.0742576075694693,-36.39930500562723,19.94497011784771,6.7017673968480524,NYSE,Industrials,448975718843.2611,22.90206724061129,2.7181992803531143,0.5867931928294703,39795899.69499378,0.8762907910199917,Neutral,Sell,94.02302414249576,3.1446848258893585,751120196.7237059,0.6725184560770384,70.62422271564962,5.630327568183735,Idea 18,Positive,Neutral,Mistake 18,Improvement 18,Index: 11  Ticker: TSLA  Entry Date: 2022-11-17 17:53:54   Entry Price:173.94178221021082
AMZN,2022-10-09 04:42:48,410.0531293444458,2022-10-23 08:43:39,224.3929286862649,0.1630265895704372,-54.41296749161167,15.696809887549351,1.8126079304896747,NYSE,Technology,176749327424.66803,27.28335130143806,5.367518868486841,0.2550289427604567,537545344.7694588,0.6213094499257965,Bearish,Buy,38.816992620652194,-3.8183517237834375,104020744.96709669,0.7915790437258485,8.483771408519193,11.752624677710488,Idea 20,Positive,Negative,Mistake 20,Improvement 20,Index: 12  Ticker: AMZN  Entry Date: 2022-10-09 04:42:48   Entry Price:410.0531293444458
MSFT,2022-08-29 03:53:22,463.7281608315128,2022-11-26 19:33:12,408.5081386743783,0.0090931317527976,60.734415379822906,20.37581243486732,7.049219926652907,NASDAQ,Financials,372910483795.1813,21.79741695121088,3.976752742034624,1.7124726103568817,328824514.8072572,1.9543053006712383,Bullish,Hold,65.8693631618945,-4.055570392440716,372646067.7069904,0.950607146937556,61.82180633162611,42.42220092469763,Idea 12,Neutral,Neutral,Mistake 12,Improvement 12,Index: 13  Ticker: MSFT  Entry Date: 2022-08-29 03:53:22   Entry Price:463.7281608315128
MSFT,2022-06-26 13:49:15,373.6932106048628,2023-02-16 16:26:23,179.48627261366897,0.085297914889198,-67.75574254919911,14.442156209414604,3.156057016002752,AMEX,Healthcare,851077520318.7452,16.161215837047784,5.229500625918487,1.3751726819656962,886730531.8017093,0.7915700509923096,Bullish,Sell,4.530400977204452,4.053506419560637,178262104.2359431,0.0108376514802983,88.77041827582998,75.33781852589416,Idea 7,Positive,Positive,Mistake 7,Improvement 7,Index: 14  Ticker: MSFT  Entry Date: 2022-06-26 13:49:15   Entry Price:373.6932106048628
MSFT,2022-05-12 01:34:40,486.2528132298237,2023-09-13 14:57:01,420.8787923016159,0.0550229885420852,51.11022770860973,27.214611665126867,5.524111209059753,AMEX,Technology,846814481096.0676,13.576454184426575,6.148037792882648,1.7040049673799915,195079679.5585302,0.9073143737296128,Bullish,Hold,43.385164923797305,0.4561678931593498,877594541.5135258,0.8264574661077416,49.44203047025815,37.06421470668909,Idea 3,Positive,Negative,Mistake 3,Improvement 3,Index: 15  Ticker: MSFT  Entry Date: 2022-05-12 01:34:40   Entry Price:486.2528132298237
TSLA,2022-01-06 22:30:03,203.5119926400068,2022-09-30 19:10:31,129.61786069363615,-0.0289835926565801,-62.68598822279283,24.06037917790356,7.854576537958458,CBOE,Technology,940193309015.3208,29.57785716550018,5.974884701519409,0.3595805297398547,155886575.11101645,1.5718926562699282,Bullish,Buy,16.29344270814297,1.8300677341635687,776636547.7812549,0.5734378881232861,10.112267612279023,90.6354385094736,Idea 13,Positive,Negative,Mistake 13,Improvement 13,Index: 16  Ticker: TSLA  Entry Date: 2022-01-06 22:30:03   Entry Price:203.5119926400068
TSLA,2021-12-18 06:26:04,479.5542149013333,2023-09-29 16:09:45,156.36968998990503,0.0918424713352256,-17.92341539287405,26.36029531844986,6.486079005819072,NYSE,Financials,700657472142.7986,19.87787430366869,5.492740418962771,0.8499137869379971,628266520.5336875,1.741803505681383,Bullish,Hold,17.320186991001517,-0.4174710950848332,629313903.9331042,0.5052523724478571,9.120610304869036,37.427079575612034,Idea 2,Negative,Positive,Mistake 2,Improvement 2,Index: 17  Ticker: TSLA  Entry Date: 2021-12-18 06:26:04   Entry Price:479.5542149013333
MSFT,2021-09-06 19:49:15,276.0609974958405,2022-11-29 23:17:34,102.20884684944096,0.104314019446759,85.93953046851462,12.397307346673657,2.304053848821008,AMEX,Financials,935699359226.7266,20.850804611097985,3.5160430761708272,0.7814288844627113,28589155.101831,1.117030857585018,Neutral,Buy,37.46126146264712,-3.042088652107036,750864136.8892175,0.9053819764192635,35.09150125520787,37.62595855309158,Idea 8,Negative,Neutral,Mistake 8,Improvement 8,Index: 18  Ticker: MSFT  Entry Date: 2021-09-06 19:49:15   Entry Price:276.0609974958405
AMZN,2021-07-15 03:51:10,113.75540844608736,2023-11-02 16:14:51,391.6028672163949,-0.0024817614542436,74.29211803754353,16.464058640415104,3.178497443603504,CBOE,Financials,581105934815.0182,15.009236372111683,9.577646623215578,0.712846452053341,672354109.1599042,0.6991181333644547,Bearish,Buy,85.64898411883223,-4.817781743484503,413205059.2345151,0.9500619670508048,76.15106317174723,55.8404249735805,Idea 11,Positive,Positive,Mistake 11,Improvement 11,Index: 19  Ticker: AMZN  Entry Date: 2021-07-15 03:51:10   Entry Price:113.75540844608736
